date,bytes,packets,flows
2023-12-31,17147,396,396
2023-12-30,18188,410,410
2023-12-29,24192,637,636
2023-12-28,10896,215,215
2023-12-27,256866,5701,5696
2023-12-26,8267,182,182
2023-12-25,2896,66,66
2023-12-24,6383,140,140
2023-12-23,73706,2021,2021
2023-12-22,20442,487,487
2023-12-21,39497,922,922
2023-12-20,287832,6632,6620
2023-12-19,6718,172,172
2023-12-18,93226,2237,2237
2023-12-17,37168,887,887
2023-12-16,738323,10994,10984
2023-12-15,382901,7102,7100
2023-12-14,313832,5586,5584
2023-12-13,1131792,16661,16655
2023-12-12,942785,11764,11756
2023-12-11,65238,1511,1511
2023-12-10,37103,878,878
2023-12-09,32007,852,852
2023-12-08,15710,394,393
2023-12-07,1037978,18358,18357
2023-12-06,666715,16009,16006
2023-12-05,225373,7146,7145
2023-12-04,868359,18234,18231
2023-12-03,897648,19506,19497
2023-12-02,508003,11957,11956
2023-12-01,970315,20093,20089
2023-11-30,198038,6277,6275
2023-11-29,441241,11814,11814
2023-11-28,221158,6986,6984
2023-11-27,200119,6376,6372
2023-11-26,194333,6170,6169
2023-11-25,199251,6332,6330
2023-11-24,210388,6702,6701
2023-11-23,215945,6818,6816
2023-11-22,445693,11843,11842
2023-11-21,219449,6947,6946
2023-11-20,218302,6928,6926
2023-11-19,264917,7509,7503
2023-11-18,210946,6677,6674
2023-11-17,212035,6598,6596
2023-11-16,222252,6716,6714
2023-11-15,5799053,34362,34352
2023-11-14,5525573,28847,28838
2023-11-13,4124127,22690,22676
2023-11-12,2799708,17530,17522
2023-11-11,5840826,29632,29625
2023-11-10,5498539,28125,28120
2023-11-09,205189,6458,6457
2023-11-08,456507,12173,12173
2023-11-07,1343900,11738,11734
2023-11-06,4351256,23717,23708
2023-11-05,6968604,33887,33841
2023-11-04,5471356,27713,27695
2023-11-03,5517324,29471,29445
2023-11-02,6207217,38957,38917
2023-11-01,1595979,24020,24014
2023-10-31,3987134,31298,31288
2023-10-30,1260754,15275,15270
2023-10-29,4876817,36512,36490
2023-10-28,4112700,31946,31916
2023-10-27,4937201,36028,36011
2023-10-26,2232656,20937,20923
2023-10-25,593241,15203,15200
2023-10-24,1195225,13766,13764
2023-10-23,2120735,19747,19747
2023-10-22,2160230,20221,20221
2023-10-21,2141112,20563,20560
2023-10-20,2236085,21678,21668
2023-10-19,2246715,22769,22767
2023-10-18,2381758,27192,27175
2023-10-17,2201251,20016,20006
2023-10-16,2169443,19809,19798
2023-10-15,2251503,21125,21108
2023-10-14,3182273,28138,28111
2023-10-13,2219451,20437,20421
2023-10-12,3119705,25826,25814
2023-10-11,2433431,24978,24977
2023-10-10,2136683,19965,19962
2023-10-09,2986942,25364,25353
2023-10-08,2403083,21955,21936
2023-10-07,1479295,16575,16560
2023-10-06,332837,9016,9013
2023-10-05,5613076,30159,30143
2023-10-04,2662083,30424,30409
2023-10-03,3369377,25461,25454
2023-10-02,3174824,21921,21919
2023-10-01,3050657,19882,19878
2023-09-30,4287063,24550,24528
2023-09-29,2961757,17903,17891
2023-09-28,2872022,17415,17409
2023-09-27,3149191,22632,22613
2023-09-26,3521323,27707,27694
2023-09-25,3006154,17769,17750
2023-09-24,2922339,17953,17939
2023-09-23,2941215,17777,17771
2023-09-22,216042,6827,6823
2023-09-21,500478,12577,12576
2023-09-20,526263,14080,14076
2023-09-19,241561,7492,7485
2023-09-18,306967,9213,9207
2023-09-17,2114273,14128,14120
2023-09-16,893513,9624,9618
2023-09-15,241397,7499,7497
2023-09-14,237288,7415,7408
2023-09-13,550272,14677,14672
2023-09-12,252068,7751,7748
2023-09-11,1673883,13452,13449
2023-09-10,3053412,19425,19418
2023-09-09,3110170,23036,23013
2023-09-08,3632405,30203,30187
2023-09-07,3938128,31691,31645
2023-09-06,755123,17411,17409
2023-09-05,532334,12479,12475
2023-09-04,789990,17906,17895
2023-09-03,308506,9223,9216
2023-09-02,303335,8881,8879
2023-09-01,221213,6896,6895
2023-08-31,211605,6693,6690
2023-08-30,411910,11172,11171
2023-08-29,248078,7405,7402
2023-08-28,190423,6282,6280
2023-08-27,316578,8432,8425
2023-08-26,523522,10669,10665
2023-08-25,196492,6474,6474
2023-08-24,210826,6685,6680
2023-08-23,434521,11681,11679
2023-08-22,194281,6271,6240
2023-08-21,222533,7028,6979
2023-08-20,243235,6791,6775
2023-08-19,193537,6270,6234
2023-08-18,1094575,17206,17199
2023-08-17,1127355,15651,15604
2023-08-16,435374,11737,11707
2023-08-15,214904,6831,6783
2023-08-14,202035,6544,6543
2023-08-13,202638,6491,6490
2023-08-12,237338,6886,6884
2023-08-11,190456,6046,6046
2023-08-10,187291,6088,6088
2023-08-09,419597,11301,11301
2023-08-08,222528,6778,6773
2023-08-07,236829,6373,6366
2023-08-06,204310,6416,6416
2023-08-05,189851,6014,6014
2023-08-04,375416,9439,9439
2023-08-03,199084,6034,6030
2023-08-02,471829,11853,11848
2023-08-01,288934,7396,7392
2023-07-31,267502,6343,6332
2023-07-30,323535,8266,8256
2023-07-29,197868,6378,6378
2023-07-28,225913,6896,6896
2023-07-27,216964,6904,6904
2023-07-26,601760,15187,15187
2023-07-25,372555,9388,9375
2023-07-24,193645,6259,6259
2023-07-23,201929,6437,6437
2023-07-22,234357,6936,6936
2023-07-21,201329,6291,6291
2023-07-20,203390,6538,6538
2023-07-19,794051,17389,17382
2023-07-18,234722,6432,6429
2023-07-17,206113,6560,6560
2023-07-16,214478,6833,6833
2023-07-15,190155,6207,6207
2023-07-14,194288,6135,6134
2023-07-13,217582,6400,6397
2023-07-12,600967,15327,15327
2023-07-11,218109,6962,6962
2023-07-10,274518,8489,8489
2023-07-09,196290,6341,6341
2023-07-08,217832,6840,6840
2023-07-07,272426,8315,8315
2023-07-06,270007,8310,8310
2023-07-05,463455,12324,12324
2023-07-04,197403,6440,6440
2023-07-03,208101,6769,6769
2023-07-02,284553,8753,8753
2023-07-01,207570,6677,6677
2023-06-30,271529,8346,8346
2023-06-29,246877,7620,7620
2023-06-28,452356,12158,12158
2023-06-27,213374,6784,6781
2023-06-26,193647,6324,6324
2023-06-25,195466,6395,6395
2023-06-24,195437,6372,6372
2023-06-23,192188,6294,6294
2023-06-22,224657,7182,7182
2023-06-21,243373,6323,6323
2023-06-20,195815,6443,6443
2023-06-19,205549,6597,6597
2023-06-18,199899,6517,6517
2023-06-17,179537,5909,5909
2023-06-16,185812,6123,6123
2023-06-15,186640,6147,6147
2023-06-14,443330,11893,11893
2023-06-13,202304,6526,6526
2023-06-12,178126,5875,5875
2023-06-11,177067,5840,5840
2023-06-10,201607,6358,6358
2023-06-09,197875,6444,6444
2023-06-08,194369,6359,6359
2023-06-07,426172,11481,11481
2023-06-06,182343,6011,6011
2023-06-05,189912,6234,6234
2023-06-04,194235,6407,6407
2023-06-03,194671,6387,6387
2023-06-02,205928,6680,6680
2023-06-01,190307,6248,6248
2023-05-31,437859,11801,11801
2023-05-30,194895,6426,6426
2023-05-29,192787,6309,6309
2023-05-28,440349,11671,11671
2023-05-27,192349,6343,6343
2023-05-26,213774,6911,6911
2023-05-25,189238,6247,6247
2023-05-24,446007,11974,11974
2023-05-23,195465,6450,6450
2023-05-22,188852,6186,6186
2023-05-21,190763,6275,6275
2023-05-20,209421,6822,6822
2023-05-19,193922,6340,6340
2023-05-18,201902,6604,6604
2023-05-17,477422,12690,12690
2023-05-16,186616,6139,6139
2023-05-15,190810,6242,6242
2023-05-14,188862,6145,6145
2023-05-13,189062,6201,6201
2023-05-12,197386,6486,6486
2023-05-11,193764,6404,6404
2023-05-10,460552,12405,12405
2023-05-09,201050,6625,6625
2023-05-08,307772,7222,7222
2023-05-07,1521171,24426,24426
2023-05-06,238001,7273,7273
2023-05-05,185213,6100,6100
2023-05-04,197389,6531,6531
2023-05-03,437128,11695,11694
2023-05-02,183978,6052,6052
2023-05-01,197165,6518,6517
2023-04-30,204348,6575,6575
2023-04-29,191749,6293,6293
2023-04-28,207310,6708,6708
2023-04-27,191442,6306,6305
2023-04-26,445780,11905,11905
2023-04-25,198917,6528,6528
2023-04-24,196254,6432,6432
2023-04-23,258310,8188,8187
2023-04-22,203110,6601,6601
2023-04-21,197576,6496,6496
2023-04-20,210600,6641,6641
2023-04-19,450757,12112,12112
2023-04-18,319258,8915,8915
2023-04-17,206977,6790,6790
2023-04-16,230027,7324,7324
2023-04-15,214637,6943,6941
2023-04-14,243219,7682,7681
2023-04-13,203641,6672,6672
2023-04-12,444337,12002,12002
2023-04-11,194447,6390,6390
2023-04-10,198575,6506,6506
2023-04-09,207162,6620,6620
2023-04-08,231982,6795,6794
2023-04-07,251438,6701,6700
2023-04-06,211584,6524,6524
2023-04-05,1615899,22887,22887
2023-04-04,1239818,15455,15455
2023-04-03,2598513,26691,26691
2023-04-02,1317893,16002,16002
2023-04-01,1513501,23028,23028
2023-03-31,1355284,19212,19212
2023-03-30,1550936,23815,23815
2023-03-29,1752114,28491,28489
2023-03-28,1201937,19418,19418
2023-03-27,959478,16635,16634
2023-03-26,1411996,22090,22090
2023-03-25,2353277,32508,32508
2023-03-24,2538350,36504,36504
2023-03-23,2808464,39377,39377
2023-03-22,3875282,56742,56741
2023-03-21,2109406,23435,23435
2023-03-20,2207166,32244,32244
2023-03-19,3773227,52018,52018
2023-03-18,5113286,78539,78539
2023-03-17,2055440,31177,31177
2023-03-16,195604,6463,6463
2023-03-15,440747,11846,11846
2023-03-14,182206,5926,5926
2023-03-13,273509,8238,8238
2023-03-12,208315,6808,6808
2023-03-11,199007,6550,6549
2023-03-10,199078,6481,6481
2023-03-09,193037,6380,6380
2023-03-08,443057,11957,11956
2023-03-07,173806,5712,5712
2023-03-06,197695,6468,6467
2023-03-05,206539,6688,6688
2023-03-04,207583,6714,6714
2023-03-03,194936,6390,6390
2023-03-02,192717,6367,6367
2023-03-01,445856,11951,11950
2023-02-28,205149,6654,6654
2023-02-27,125528,4096,4095
2023-02-26,110037,3632,3632
2023-02-25,128239,4067,4067
2023-02-24,123406,4024,4023
2023-02-23,127420,4093,4092
2023-02-22,279027,7447,7447
2023-02-21,210232,6550,6550
2023-02-20,189542,6254,6254
2023-02-19,188052,6182,6182
2023-02-18,195896,6479,6478
2023-02-17,190456,6241,6240
2023-02-16,415674,10222,10222
2023-02-15,755870,17412,17412
2023-02-14,505041,11640,11640
2023-02-13,203859,5929,5923
2023-02-12,229633,6673,6673
2023-02-11,249350,7707,7707
2023-02-10,179046,5904,5904
2023-02-09,200568,6275,6269
2023-02-08,437858,11792,11792
2023-02-07,189425,6262,6262
2023-02-06,182477,6008,6007
2023-02-05,188452,6172,6149
2023-02-04,186769,6134,6126
2023-02-03,250116,7828,7828
2023-02-02,192358,6331,6331
2023-02-01,461008,12339,12338
2023-01-31,1849630,35478,35478
2023-01-30,2094764,39574,39574
2023-01-29,1986943,37882,37882
2023-01-28,1924641,36937,36936
2023-01-27,2205448,41510,41498
2023-01-26,2008766,38140,38139
2023-01-25,2405717,46604,46604
2023-01-24,1904740,36565,36565
2023-01-23,2070428,39110,39110
2023-01-22,1970412,37349,37349
2023-01-21,1743449,33547,33547
2023-01-20,2503770,44521,44521
2023-01-19,3837269,57364,57363
2023-01-18,2073188,40528,40528
2023-01-17,2129564,38974,38000
2023-01-16,2055716,38955,38955
2023-01-15,1867302,35631,35631
2023-01-14,1968718,37464,37464
2023-01-13,2072914,39320,39319
2023-01-12,2020416,38392,38392
2023-01-11,2117267,41185,41185
2023-01-10,1992781,37709,37709
2023-01-09,1614325,30987,30987
2023-01-08,1611751,30902,30902
2023-01-07,1641797,31582,31582
2023-01-06,2164322,37375,37375
2023-01-05,2129321,38200,38200
2023-01-04,2095942,41099,41099
2023-01-03,2956994,42899,42896
2023-01-02,728148,11447,11447
2023-01-01,506497,8310,8310
